"db","query","genus","family","order","class","phylum","kingdom"
"ncbi","Atrichonotus taeniatulus","Atrichonotus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Protostomia",NA,NA,NA,NA,NA,"Metazoa"
"ncbi","Siphonaptera",NA,NA,"Siphonaptera","Insecta","Arthropoda","Metazoa"
"ncbi","Gyrophaena vitrina","Gyrophaena","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nicrophorus tomentosus","Nicrophorus","Silphidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichocera","Trichocera","Trichoceridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Geophilomorpha",NA,NA,"Geophilomorpha","Chilopoda","Arthropoda","Metazoa"
"ncbi","Macrocyclops albidus","Macrocyclops","Cyclopidae","Cyclopoida","Hexanauplia","Arthropoda","Metazoa"
"ncbi","Cerambycidae",NA,"Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Coleomegilla maculata","Coleomegilla","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rusticoclytus","Rusticoclytus","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Barypeithes","Barypeithes","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lycorma delicatula","Lycorma","Fulgoridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Leptinotarsa juncta","Leptinotarsa","Chrysomelidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chymomyza","Chymomyza","Drosophilidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Penenirmus auritus","Penenirmus","Philopteridae","Phthiraptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muscidae",NA,"Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Camptonotus carolinensis","Camptonotus","Gryllacrididae","Orthoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Otiorhynchus rugosostriatus","Otiorhynchus","Curculionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Sclerosomatidae",NA,"Sclerosomatidae","Opiliones","Arachnida","Arthropoda","Metazoa"
"ncbi","Trichoptera",NA,NA,"Trichoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cryptophilus","Cryptophilus","Erotylidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Nabidae",NA,"Nabidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Chrysobothris femorata","Chrysobothris","Buprestidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Xylosciara","Xylosciara","Sciaridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Lasiurus borealis","Lasiurus","Vespertilionidae","Chiroptera","Mammalia","Chordata","Metazoa"
"ncbi","Didelphis virginiana","Didelphis","Didelphidae","Didelphimorphia","Mammalia","Chordata","Metazoa"
"ncbi","Geocoris","Geocoris","Geocoridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Tetramorium tsushimae","Tetramorium","Formicidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Cuterebra","Cuterebra","Oestridae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Corydalidae",NA,"Corydalidae","Megaloptera","Insecta","Arthropoda","Metazoa"
"ncbi","Rattus norvegicus","Rattus","Muridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Cregya oculata","Cregya","Cleridae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Alphitobius diaperinus","Alphitobius","Tenebrionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Onthophagus pennsylvanicus","Onthophagus","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Scymnus","Scymnus","Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Muridae",NA,"Muridae","Rodentia","Mammalia","Chordata","Metazoa"
"ncbi","Forficula auricularia","Forficula","Forficulidae","Dermaptera","Insecta","Arthropoda","Metazoa"
"ncbi","Vespula maculifrons","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Taylorilygus apicalis","Taylorilygus","Miridae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Coccinellidae",NA,"Coccinellidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Telephanus atricapillus","Telephanus","Silvanidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Oryctes rhinoceros","Oryctes","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Apionidae",NA,"Apionidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Strangalia","Strangalia","Cerambycidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Paraulacizes irrorata","Paraulacizes","Cicadellidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Acrosternum hilare","Acrosternum","Pentatomidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"ncbi","Thienemanniella","Thienemanniella","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"ncbi","Trichiusa","Trichiusa","Staphylinidae","Coleoptera","Insecta","Arthropoda","Metazoa"
"ncbi","Schoettella","Schoettella","Hypogastruridae","Poduromorpha","Collembola","Arthropoda","Metazoa"
